galaxy,model,n_outer,valid,loss,rmse_kms
F583-4,profiled_baryons,3,True,3.38733245952818,9.018306512492888
F583-4,scalar_core,3,True,4.496707119353793,10.390665904343408
IC2574,adaptive_primary,7,True,1.4801002784008173,2.848135467764691
IC2574,baryon_only,7,True,117.07613801825097,30.78436260157142
IC2574,compact_plummer,7,True,1.7755684407765095,3.14828429482914
IC2574,extended,7,True,2.042890689286377,3.4038962996132898
IC2574,nfw,7,True,9.600929347606405,8.026794862700514
IC2574,profiled_baryons,7,True,33.156943931651846,16.051862413233536
IC2574,scalar_core,7,True,1.4801003096351333,2.8481355007117988
IC4202,adaptive_primary,7,True,32.02934458555864,38.78685538552802
IC4202,baryon_only,7,True,108.90174888791078,76.0405743428762
IC4202,compact_plummer,7,True,32.02934458555864,38.78685538552802
IC4202,extended,7,True,22.100007722292624,31.877603568362666
IC4202,nfw,7,True,4.119906856155298,17.746327214460724
IC4202,profiled_baryons,7,True,8.671732959126462,19.090834809170868
IC4202,scalar_core,7,True,32.02934534313694,38.78685589746757
KK98-251,adaptive_primary,3,True,10.754134351861529,6.558699368582625
KK98-251,baryon_only,3,True,53.11240606821824,14.575651761512175
KK98-251,compact_plummer,3,True,10.75413435181298,6.55869936856782
KK98-251,extended,3,True,10.75413435181298,6.55869936856782
KK98-251,nfw,3,True,2.361968712782438,3.0737395548630584
KK98-251,profiled_baryons,3,True,3.6148822295676717,3.802568726304718
KK98-251,scalar_core,3,True,10.754134351861525,6.558699368582623
NGC0024,adaptive_primary,6,True,5.493751106048767,7.558847857692985
NGC0024,baryon_only,6,True,324.28971532396116,63.30639870013276
NGC0024,compact_plummer,6,True,136.601968984568,36.672480050972986
NGC0024,extended,6,True,55.63021245121686,23.432623830280217
NGC0024,nfw,6,True,303.7729356088992,53.938206711625455
NGC0024,profiled_baryons,6,True,99.53579414241445,31.31947405747819
NGC0024,scalar_core,6,True,137.2716434810228,36.700193093536896
NGC0055,adaptive_primary,5,True,0.18555767875475027,1.3908399108672096
NGC0055,baryon_only,5,True,95.2428769904138,39.24222689651145
NGC0055,compact_plummer,5,True,0.18555767875475027,1.3908399108672096
NGC0055,extended,5,True,0.18555767875475027,1.3908399108672096
NGC0055,nfw,5,True,4.895323998117299,8.942025004673921
NGC0055,profiled_baryons,5,True,10.5694794315582,12.863732909856964
NGC0055,scalar_core,5,True,0.18555767933078696,1.390839912567828
NGC0100,adaptive_primary,5,True,1.1121058624432625,7.728974516003543
NGC0100,baryon_only,5,True,54.2985842595034,51.952896692162966
NGC0100,compact_plummer,5,True,1.1358218831481728,7.814913867452519
NGC0100,extended,5,True,1.1121058624886413,7.7289745161345484
NGC0100,nfw,5,True,0.2761944353592156,3.812231157004715
NGC0100,profiled_baryons,5,True,15.587598444194185,28.05421184757398
NGC0100,scalar_core,5,True,1.097629622388073,7.68687691479217
NGC0247,adaptive_primary,6,True,0.9474316245279576,8.228135563781693
NGC0247,baryon_only,6,True,4.7083089754663225,18.44063700575709
NGC0247,compact_plummer,6,True,1.3740508255619417,9.92467327860954
NGC0247,extended,6,True,0.9904027062360568,8.414316957016073
NGC0247,nfw,6,True,0.14360458293476955,3.166048329434415
NGC0247,profiled_baryons,6,True,3.7929505594810906,16.539065100091932
NGC0247,scalar_core,6,True,0.9474316245277387,8.228135563780732
NGC0289,adaptive_primary,6,True,0.6814491572901525,5.986295889518224
NGC0289,baryon_only,6,True,59.05512524094985,65.93857109719822
NGC0289,compact_plummer,6,True,0.5966832670481286,6.0994199804219615
NGC0289,extended,6,True,0.6400210753734689,5.662665332444657
NGC0289,nfw,6,True,4.192816884348642,13.803931657547986
NGC0289,profiled_baryons,6,True,4.715096015638988,20.513210756475413
NGC0289,scalar_core,6,True,0.6814491904721244,5.9862958937642
NGC0300,adaptive_primary,5,True,4.274379227469811,5.113137040125183
NGC0300,baryon_only,5,True,305.67005017483416,47.52272016088289
NGC0300,compact_plummer,5,True,16.1242446370286,11.656871963827715
NGC0300,extended,5,True,14.047834381479188,10.511031930895859
NGC0300,nfw,5,True,0.21833329166220744,3.6090948255137687
NGC0300,profiled_baryons,5,True,111.15117988569209,29.61764679508807
NGC0300,scalar_core,5,True,14.372749499900312,11.060012424966418
NGC0801,adaptive_primary,3,True,35.655921446974126,23.69624854853208
NGC0801,baryon_only,3,True,282.7157229244833,64.26796956695507
NGC0801,compact_plummer,3,True,40.557482365390214,25.400298362368712
NGC0801,extended,3,True,22.326397275879497,18.373328583388194
NGC0801,nfw,3,True,7.740340007818728,10.406939992464954
NGC0801,profiled_baryons,3,True,149.05325793140364,46.738836249947404
NGC0801,scalar_core,3,True,36.52180018123596,24.203444767822678
NGC0891,adaptive_primary,4,True,2.024183703902788,6.008774592340712
