z,virial_over_E,sharp_lower_bound,local_quadratic
4.8399999999999999e-01,2.4840000000000000e+00,1.4435642947541349e-02,1.4699999999999987e-02
4.8599999999999999e-01,2.4859999999999998e+00,1.5126536984016309e-02,1.5408333333333321e-02
4.8799999999999999e-01,2.4880000000000000e+00,1.5833443617201681e-02,1.6133333333333322e-02
4.8999999999999999e-01,2.4900000000000002e+00,1.6556359514513050e-02,1.6874999999999991e-02
4.9199999999999999e-01,2.4920000000000000e+00,1.7295281857154898e-02,1.7633333333333324e-02
4.9399999999999999e-01,2.4939999999999998e+00,1.8050208339578086e-02,1.8408333333333325e-02
4.9600000000000000e-01,2.4960000000000000e+00,1.8821137169037022e-02,1.9199999999999991e-02
4.9800000000000000e-01,2.4980000000000002e+00,1.9608067065244678e-02,2.0008333333333322e-02
5.0000000000000000e-01,2.5000000000000000e+00,2.0410997260127586e-02,2.0833333333333325e-02
5.0200000000000000e-01,2.5019999999999998e+00,2.1229927497677353e-02,2.1674999999999993e-02
5.0400000000000000e-01,2.5040000000000000e+00,2.2064858033902290e-02,2.2533333333333325e-02
5.0600000000000001e-01,2.5060000000000002e+00,2.2915789636876072e-02,2.3408333333333326e-02
5.0800000000000001e-01,2.5080000000000000e+00,2.3782723586885574e-02,2.4299999999999995e-02
5.1000000000000001e-01,2.5099999999999998e+00,2.4665661676676290e-02,2.5208333333333329e-02
5.1200000000000001e-01,2.5120000000000000e+00,2.5564606211797639e-02,2.6133333333333331e-02
5.1400000000000001e-01,2.5140000000000002e+00,2.6479560011044956e-02,2.7074999999999995e-02
5.1600000000000001e-01,2.5160000000000000e+00,2.7410526407002561e-02,2.8033333333333330e-02
5.1800000000000002e-01,2.5179999999999998e+00,2.8357509246684329e-02,2.9008333333333334e-02
5.2000000000000002e-01,2.5200000000000000e+00,2.9320512892274692e-02,3.0000000000000002e-02
5.2200000000000002e-01,2.5220000000000002e+00,3.0299542221968762e-02,3.1008333333333336e-02
5.2400000000000002e-01,2.5240000000000000e+00,3.1294602630913812e-02,3.2033333333333330e-02
5.2600000000000002e-01,2.5259999999999998e+00,3.2305700032249765e-02,3.3075000000000007e-02
5.2800000000000002e-01,2.5280000000000000e+00,3.3332840858252652e-02,3.4133333333333335e-02
5.3000000000000003e-01,2.5300000000000002e+00,3.4376032061578549e-02,3.5208333333333341e-02
5.3200000000000003e-01,2.5320000000000000e+00,3.5435281116610651e-02,3.6300000000000006e-02
5.3400000000000003e-01,2.5339999999999998e+00,3.6510596020908406e-02,3.7408333333333342e-02
5.3600000000000003e-01,2.5360000000000000e+00,3.7601985296762078e-02,3.8533333333333343e-02
5.3800000000000003e-01,2.5380000000000003e+00,3.8709457992849444e-02,3.9675000000000009e-02
5.4000000000000004e-01,2.5400000000000000e+00,3.9833023685999960e-02,4.0833333333333340e-02
5.4200000000000004e-01,2.5419999999999998e+00,4.0972692483063677e-02,4.2008333333333349e-02
5.4400000000000004e-01,2.5440000000000000e+00,4.2128475022887940e-02,4.3200000000000009e-02
5.4600000000000004e-01,2.5460000000000003e+00,4.3300382478401483e-02,4.4408333333333348e-02
5.4800000000000004e-01,2.5480000000000000e+00,4.4488426558808775e-02,4.5633333333333352e-02
5.5000000000000004e-01,2.5499999999999998e+00,4.5692619511892629e-02,4.6875000000000014e-02
5.5200000000000005e-01,2.5520000000000000e+00,4.6912974126430362e-02,4.8133333333333347e-02
5.5400000000000005e-01,2.5540000000000003e+00,4.8149503734720517e-02,4.9408333333333353e-02
5.5600000000000005e-01,2.5560000000000000e+00,4.9402222215224695e-02,5.0700000000000016e-02
5.5800000000000005e-01,2.5579999999999998e+00,5.0671143995323437e-02,5.2008333333333358e-02
5.6000000000000005e-01,2.5600000000000001e+00,5.1956284054189894e-02,5.3333333333333365e-02
